Location,Population,date,HighestInfectionCount,PercentPopulationInfected
Andorra,77265,00:00.0,13232,17.12547725
Andorra,77265,00:00.0,13198,17.08147285
Andorra,77265,00:00.0,13148,17.0167605
Andorra,77265,00:00.0,13121,16.98181583
Andorra,77265,00:00.0,13083,16.93263444
Andorra,77265,00:00.0,13060,16.90286676
Andorra,77265,00:00.0,13024,16.85627386
Andorra,77265,00:00.0,13007,16.83427166
Andorra,77265,00:00.0,12942,16.7501456
Andorra,77265,00:00.0,12917,16.71778943
Andorra,77265,00:00.0,12874,16.6621368
Andorra,77265,00:00.0,12805,16.57283375
Andorra,77265,00:00.0,12805,16.57283375
Andorra,77265,00:00.0,12771,16.52882935
Andorra,77265,00:00.0,12712,16.45246878
Andorra,77265,00:00.0,12641,16.36057723
Andorra,77265,00:00.0,12641,16.36057723
Andorra,77265,00:00.0,12614,16.32563256
Andorra,77265,00:00.0,12581,16.28292241
Andorra,77265,00:00.0,12545,16.23632952
Andorra,77265,00:00.0,12497,16.17420566
Andorra,77265,00:00.0,12456,16.12114153
Andorra,77265,00:00.0,12409,16.06031191
Andorra,77265,00:00.0,12363,16.00077655
Andorra,77265,00:00.0,12328,15.9554779
Andorra,77265,00:00.0,12286,15.90111952
Andorra,77265,00:00.0,12231,15.82993593
Andorra,77265,00:00.0,12174,15.75616385
Andorra,77265,00:00.0,12115,15.67980327
Andorra,77265,00:00.0,12053,15.59955996
Andorra,77265,00:00.0,12010,15.54390733
Montenegro,628062,00:00.0,97389,15.50627167
Montenegro,628062,00:00.0,97257,15.48525464
Andorra,77265,00:00.0,11944,15.45848703
Montenegro,628062,00:00.0,97080,15.45707271
Montenegro,628062,00:00.0,96930,15.43318972
Montenegro,628062,00:00.0,96779,15.4091475
Montenegro,628062,00:00.0,96660,15.39020033
Andorra,77265,00:00.0,11888,15.38600919
Montenegro,628062,00:00.0,96499,15.36456592
Montenegro,628062,00:00.0,96348,15.34052371
Andorra,77265,00:00.0,11850,15.3368278
Montenegro,628062,00:00.0,96187,15.31488929
Montenegro,628062,00:00.0,96048,15.29275772
Andorra,77265,00:00.0,11809,15.28376367
Montenegro,628062,00:00.0,95894,15.26823785
Montenegro,628062,00:00.0,95695,15.23655308
Czechia,10708982,00:00.0,1630758,15.22794604
Montenegro,628062,00:00.0,95551,15.21362541
Czechia,10708982,00:00.0,1628536,15.2071971
Montenegro,628062,00:00.0,95377,15.18592114
Andorra,77265,00:00.0,11732,15.18410665
Czechia,10708982,00:00.0,1626033,15.1838242
Montenegro,628062,00:00.0,95205,15.1585353
Czechia,10708982,00:00.0,1622777,15.15341981
Montenegro,628062,00:00.0,95042,15.13258245
Czechia,10708982,00:00.0,1620206,15.12941193
Andorra,77265,00:00.0,11687,15.12586553
Czechia,10708982,00:00.0,1619383,15.12172679
Czechia,10708982,00:00.0,1618068,15.10944738
Montenegro,628062,00:00.0,94859,15.1034452
Czechia,10708982,00:00.0,1615461,15.08510333
Montenegro,628062,00:00.0,94643,15.06905369
Andorra,77265,00:00.0,11638,15.06244742
Czechia,10708982,00:00.0,1612832,15.06055384
Montenegro,628062,00:00.0,94419,15.03338842
Czechia,10708982,00:00.0,1609861,15.03281078
Montenegro,628062,00:00.0,94269,15.00950543
Andorra,77265,00:00.0,11591,15.00161781
Czechia,10708982,00:00.0,1606030,14.99703707
Montenegro,628062,00:00.0,94035,14.97224796
Czechia,10708982,00:00.0,1602711,14.96604439
Czechia,10708982,00:00.0,1601881,14.95829389
Czechia,10708982,00:00.0,1600341,14.94391344
Andorra,77265,00:00.0,11545,14.94208244
Montenegro,628062,00:00.0,93803,14.93530893
San Marino,33938,00:00.0,5066,14.92722023
Czechia,10708982,00:00.0,1597103,14.91367714
San Marino,33938,00:00.0,5060,14.90954093
San Marino,33938,00:00.0,5059,14.90659438
Andorra,77265,00:00.0,11517,14.90584353
San Marino,33938,00:00.0,5058,14.90364783
Montenegro,628062,00:00.0,93566,14.89757381
San Marino,33938,00:00.0,5055,14.89480818
Czechia,10708982,00:00.0,1593847,14.88327275
San Marino,33938,00:00.0,5047,14.87123578
San Marino,33938,00:00.0,5047,14.87123578
San Marino,33938,00:00.0,5047,14.87123578
San Marino,33938,00:00.0,5045,14.86534268
San Marino,33938,00:00.0,5044,14.86239613
Andorra,77265,00:00.0,11481,14.85925063
Montenegro,628062,00:00.0,93309,14.85665428
San Marino,33938,00:00.0,5040,14.85060994
Czechia,10708982,00:00.0,1590124,14.84850754
San Marino,33938,00:00.0,5030,14.82114444
Montenegro,628062,00:00.0,93030,14.81223191
San Marino,33938,00:00.0,5026,14.80935824
San Marino,33938,00:00.0,5026,14.80935824
Czechia,10708982,00:00.0,1585037,14.80100536
Andorra,77265,00:00.0,11431,14.79453828
San Marino,33938,00:00.0,5016,14.77989275
Montenegro,628062,00:00.0,92740,14.76605813
Czechia,10708982,00:00.0,1581184,14.76502622
San Marino,33938,00:00.0,5010,14.76221345
Czechia,10708982,00:00.0,1580189,14.75573495
Andorra,77265,00:00.0,11393,14.74535689
San Marino,33938,00:00.0,5004,14.74453415
Czechia,10708982,00:00.0,1577972,14.7350327
Montenegro,628062,00:00.0,92519,14.73087052
Andorra,77265,00:00.0,11360,14.70264674
Czechia,10708982,00:00.0,1573153,14.6900331
San Marino,33938,00:00.0,4985,14.68854971
Montenegro,628062,00:00.0,92222,14.68358219
Andorra,77265,00:00.0,11319,14.64958261
Czechia,10708982,00:00.0,1567848,14.64049524
Montenegro,628062,00:00.0,91906,14.63326869
San Marino,33938,00:00.0,4962,14.62077907
Andorra,77265,00:00.0,11289,14.61075519
San Marino,33938,00:00.0,4956,14.60309977
San Marino,33938,00:00.0,4956,14.60309977
Andorra,77265,00:00.0,11266,14.58098751
Montenegro,628062,00:00.0,91573,14.58024845
Czechia,10708982,00:00.0,1560777,14.57446656
San Marino,33938,00:00.0,4944,14.56774118
San Marino,33938,00:00.0,4932,14.53238258
Andorra,77265,00:00.0,11228,14.53180612
Montenegro,628062,00:00.0,91218,14.52372536
Czechia,10708982,00:00.0,1555245,14.52280898
Czechia,10708982,00:00.0,1553820,14.5095024
Andorra,77265,00:00.0,11199,14.49427296
Czechia,10708982,00:00.0,1551896,14.49153617
Czechia,10708982,00:00.0,1549734,14.47134751
Montenegro,628062,00:00.0,90832,14.46226646
San Marino,33938,00:00.0,4904,14.44987919
Czechia,10708982,00:00.0,1545865,14.43521896
Andorra,77265,00:00.0,11130,14.40496991
Andorra,77265,00:00.0,11130,14.40496991
Montenegro,628062,00:00.0,90418,14.3963494
Czechia,10708982,00:00.0,1539617,14.37687541
Andorra,77265,00:00.0,11089,14.35190578
Montenegro,628062,00:00.0,90083,14.34301072
San Marino,33938,00:00.0,4864,14.33201721
Andorra,77265,00:00.0,11069,14.32602084
Czechia,10708982,00:00.0,1532332,14.3088484
Andorra,77265,00:00.0,11042,14.29107617
Montenegro,628062,00:00.0,89732,14.28712452
Andorra,77265,00:00.0,11019,14.26130848
Andorra,77265,00:00.0,10998,14.2341293
Montenegro,628062,00:00.0,89363,14.22837236
Czechia,10708982,00:00.0,1523668,14.22794436
Andorra,77265,00:00.0,10976,14.20565586
Andorra,77265,00:00.0,10948,14.16941694
Montenegro,628062,00:00.0,88991,14.16914254
Czechia,10708982,00:00.0,1516772,14.16354981
Czechia,10708982,00:00.0,1515029,14.14727376
Andorra,77265,00:00.0,10908,14.11764706
Czechia,10708982,00:00.0,1511021,14.10984723
Montenegro,628062,00:00.0,88550,14.09892654
Andorra,77265,00:00.0,10889,14.09305636
San Marino,33938,00:00.0,4775,14.06977429
San Marino,33938,00:00.0,4775,14.06977429
San Marino,33938,00:00.0,4775,14.06977429
San Marino,33938,00:00.0,4775,14.06977429
Andorra,77265,00:00.0,10866,14.06328868
Andorra,77265,00:00.0,10849,14.04128648
Czechia,10708982,00:00.0,1503307,14.03781424
Montenegro,628062,00:00.0,88116,14.02982508
Andorra,77265,00:00.0,10822,14.00634181
Andorra,77265,00:00.0,10799,13.97657413
Czechia,10708982,00:00.0,1495361,13.96361484
Montenegro,628062,00:00.0,87638,13.95371795
Andorra,77265,00:00.0,10775,13.9455122
San Marino,33938,00:00.0,4730,13.93717956
San Marino,33938,00:00.0,4730,13.93717956
Andorra,77265,00:00.0,10739,13.8989193
Montenegro,628062,00:00.0,87212,13.88589025
Czechia,10708982,00:00.0,1486510,13.8809646
Andorra,77265,00:00.0,10712,13.86397463
Andorra,77265,00:00.0,10699,13.84714942
Montenegro,628062,00:00.0,86782,13.81742567
Andorra,77265,00:00.0,10672,13.81220475
